"rid","prompt","label"
"10","Translate from Modern Standard Arabic into Moroccan Arabic. Output only the translation, do NOT output anything else before nor after it.
يوجد الكثير من السائحين بالقرب من المبنى ، ويبدو أنهم تجمعوا لإلقاء نظرة على ما يحدث .
Translation:","كاينين بزاف ديال السياح حدا البناية، وبان ليّا راهم مجمعين باش يشوفو آش كاين."
"11","Translate from Moroccan Arabic into English. Output only the translation, do NOT output anything else before nor after it.
بغيت نتحقق من الحوايج الغالية ديالي.
Translation:","I want to check on my expensive things."
"12","شنو المعنى ديال ""طاح الحك وصاب غطاه""؟","المعنى ديال ""طاح الحك وصاب غطاه"" هو أن شي شخص لقى حاجة اللي كتناسبو بزّاف أو لقَى الحل المناسب لمشكلتو. كيستعمل هاد المثل باش نوصفو حالة ديال توافق تام بين طرفين أو حاجة لشخص."
"13","Translate from Moroccan Arabic into English. Output only the translation, do NOT output anything else before nor after it.
انتقلنا لهاد الدار قبل عام.
Translation:","We moved to this house a year ago."
"14","Translate from Moroccan Arabic into Modern Standard Arabic. Output only the translation, do NOT output anything else before nor after it.
و ف 17 شتنبر من عام 1939،طاح الدفاع البولندي، وكان الأمل الوحيد هو التراجع ويتعاود التنظيم على طول الجسر الروماني.
Translation:","وفي 17 سبتمبر من عام 1939، انهار الدفاع البولندي، وكان الأمل الوحيد هو التراجع وإعادة التنظيم على طول الجسر الروماني."
"15","Translate from Moroccan Arabic into Modern Standard Arabic. Output only the translation, do NOT output anything else before nor after it.
إذا ولات الدولة اللي غتزورها خاضعة لمشاورة كتعلق بالسفر، يقدر يتأثر التأمين الصحي للسفر أو تأمين إلغاء الرحلة.
Translation:","إذا أصبحت الدولة التي ستزورها خاضعة لتحذير يتعلق بالسفر، قد يتأثر التأمين الصحي للسفر أو تأمين إلغاء الرحلة."
"16","كتب قصة لي كتبدا بهاد السطر: ""لا، عافاك لا. ممكن تحفظ أسئلتك حتى لتالي ديال كلامي، ملي نسولك عليهم؟""","لا، عافاك لا. ممكن تحفظ أسئلتك حتى لتالي ديال كلامي، ملي نسولك عليهم؟"" هاد الكلمات قالها يوسف بوحدة من الاجتماعات المهمة ديالو فالشركة. كان كيتكلم بحماس على المشروع الجديد اللي خدام عليه هو والفريق ديالو. المشروع كان غادي يخلق ثورة فالمجال، وكان يوسف مقتنع بأنه غادي يحقق نجاح كبير. ولكن كان كاين واحد الشخص، اللي هو سعيد، دايماً كيقاطع يوسف بأسئلة كتيرة. يوسف ما كانش باغي يضيع الوقت فالاجتماع، حيث كل دقيقة كانت مهمة باش يشرح الفكرة بوضوح لباقي الزملاء والمديرين.

يوسف بدا كيشرح كيفاش الخدمة غادي تسهل حياة الزبائن وتوفر ليهم الوقت والجهد. كان كايستعمل الشرائح والإحصائيات باش يبين المزايا اللي غادي يحققها المشروع. من بعد ما كمل تقديمه، عطا الكلمة لسعيد وقال ليه: ""دابا يمكن ليك تسول، ياك؟"" سعيد بدا كيسول وكيطرح الأسئلة اللي كانت فعلاً مهمة، وبهذا الشكل، قدر يوسف يجاوب على كل التساؤلات ويزيد يقنع الفريق بجدوى المشروع.

في النهاية، الاجتماع دار مزيان، وخرج يوسف من القاعة وهو مرتاح حيث عرف كيفاش يتعامل مع الموقف بذكاء ويخلي التركيز على الفكرة اللي كان باغي يوصلها. المشروع خذا الضوء الأخضر، وبدا العمل فيه بحماس كبير."
"17","Translate from Modern Standard Arabic into Moroccan Arabic. Output only the translation, do NOT output anything else before nor after it.
عند اتصالك بشخص ما على بعد آلاف الأميال، فإنك تستخدم قمراً صناعياً.
Translation:","مني كتعيط لشي حد بعيد بآلاف الكيلومترات، كتستعمل ساطيليت."
"18","give me JavaScript code to calculate pi, and explain in Morrocan Arabic.","```javascript
function calculatePi(iterations) {
  let pi = 0;
  let numerator = 4;
  let denominator = 1;
  let operation = 1;

  for (let i = 0; i < iterations; i++) {
    pi += operation * (numerator / denominator);
    denominator += 2;
    operation *= -1;
  }

  return pi;
}

console.log(calculatePi(1000000));
```

هاد الكود كايحسب تقريب القيمة ديال π باستخدام سلسلة لایبنيز (Leibniz series). كايبدا بالمتغيرات: pi للنتيجة، numerator للقيمة الثابتة 4، denominator للبسط اللي كايبدا ب 1، وoperation باش نبدلو الإشارة بين موجب وسالب. فكل دورة ديال اللوب، كايزيد pi القيمة ديال (numerator / denominator) مضروبة فoperation، من بعد كايزيد 2 للdenominator، وoperation كايتبدل ما بين 1 و-1. من بعد ما كايتكملو الدورات المحددة بiterations، كيولي عندنا تقريب للقيمة ديال π."
"19","Translate from English into Moroccan Arabic. Output only the translation, do NOT output anything else before nor after it.
Summits include breath-taking views from peaks. Climbers from all parts of the world are continually establishing new routes amongst its endless potential of walls.
Translation:","القمم كتعطي مناظر خلابة من القمم. المتسلقين من جميع أنحاء العالم كيقوموا باستمرار بإحداث مسارات جديدة وسط الإمكانيات اللامتناهية ديال الجدران."
"20","Translate from Moroccan Arabic into Modern Standard Arabic. Output only the translation, do NOT output anything else before nor after it.
في كاين أقرب كيميائي؟
Translation:","هل يوجد صيدلي قريب؟"
"21","Translate from Modern Standard Arabic into Moroccan Arabic. Output only the translation, do NOT output anything else before nor after it.
إنه من الصعب لنا أن نتحدث الإنجليزية بطلاقة .
Translation:","صعيب علينا نهضرو بالإنجليزية بطلاقة."
"22","Translate from Moroccan Arabic into Modern Standard Arabic. Output only the translation, do NOT output anything else before nor after it.
ما خصكش تفرج فالتلفازة فكل وقت.
Translation:","لا يجب عليك مشاهدة التلفاز طوال الوقت."
"23","Translate from English into Moroccan Arabic. Output only the translation, do NOT output anything else before nor after it.
As a result, two fish species have become extinct, and two others have become endangered, including the humpback chub.
Translation:","كنتيجة، جوج د الأنواع ديال الحوت انقرضو، وجوج آخرين ولاّو مهددين بالانقراض، ومن ضمنهم الحوتة الحدبة."
"24","Translate from English into Moroccan Arabic. Output only the translation, do NOT output anything else before nor after it.
It is Martelly's fifth CEP in four years.
Translation:","هاد خامس CEP ديال مارتلي فربع سنين."
"25","Translate from Moroccan Arabic into English. Output only the translation, do NOT output anything else before nor after it.
بغيت نشوف الميناء.
Translation:","I want to see the port."
"26","Translate from Modern Standard Arabic into Moroccan Arabic. Output only the translation, do NOT output anything else before nor after it.
فاتتني محطتي .
Translation:","فاتتني الموقف ديالي."
"27","Translate from Moroccan Arabic into English. Output only the translation, do NOT output anything else before nor after it.
واقيلا الماعز تدُجّن لأول مرة هادي شي 10 آلاف عام في جبال زاغروس الإيرانية.
Translation:","Goats were probably domesticated for the first time about 10,000 years ago in the Iranian Zagros Mountains."
"28","Translate from Modern Standard Arabic into Moroccan Arabic. Output only the translation, do NOT output anything else before nor after it.
خضعت الكنيسة الكاثوليكية، التي أصبحت غنية وقوية، للتدقيق خلال هذه الفترة من التاريخ الأوروبي.
Translation:","الكنيسة الكاثوليكية اللي ولات غنية وقوية، تعرضات للتدقيق فهاد الفترة من التاريخ الأوروبي."
"29","""مولدوفا جمهورية متعددة الإثنيات واللي عانات من الصراع الإثني."" جاوب علي هاد الموضوع","مولدوفا فعلاً جمهورية متعددة الإثنيات، وهاد الشيء بسبب التاريخ المتنوع للمنطقة والتأثيرات المختلفة اللي مرت عليها. الصراع الإثني في مولدوفا غالباً بين المجموعة المولدوفية الرئيسية والأقلية الروسية أو الأوكرانية، وكمان في إقليم ترانسنيستريا اللي أعلن استقلاله من طرف واحد وما زال غير معترف به دولياً. هاد الصراع زاد من التوترات السياسية والاقتصادية في البلد، وخلّى مولدوفا تسعى لحلول سلمية ولتعزيز الوحدة الوطنية."
"30","Translate from English into Moroccan Arabic. Output only the translation, do NOT output anything else before nor after it.
I would like a loose permanent, please.
Translation:","بغيت واحد بيرمانونت خفيف، عفاك."
"31","شناهوما الاتار ديال ""واش مزال محجوزة كلها؟""، الى شي حد قالها ليك؟","إلى شي حد قال لي ""واش مزال محجوزة كلها؟""، يمكن تكون عندها دلالات مختلفة. ممكن الشخص كيقصد يسول واش البلاصة أو الخدمة أو السلعة اللي كان باغيها مزال متوفرة أو واخدة كاملة. كيمكن تكون فيها واحد النوع ديال الاستغراب أو الفضول حول الوضعية الحالية ديال هاد الشي اللي كان مهتم بيه."
"32","Translate from Moroccan Arabic into Modern Standard Arabic. Output only the translation, do NOT output anything else before nor after it.
صافي غادي يوصلك للفندقك في الساعة الثامنة.
Translation:","سوف يصلك إلى فندقك في الساعة الثامنة."
"33","Translate from Moroccan Arabic into English. Output only the translation, do NOT output anything else before nor after it.
برمانوت ضيق، عافاك.
Translation:","Tight pants, please."
"34","Translate from English into Moroccan Arabic. Output only the translation, do NOT output anything else before nor after it.
Biological clocks are self sustaining oscillators which will continue a period of free-running cycling even in the absence of external cues.
Translation:","الساعات البيولوجية هي مذبذبات تعتمد على الذات وتستمر في دورات حرة حتى مع غياب المؤشرات الخارجية."
"35","Is there an early stop out method (to control for multiple testing problem in hypothesis tests) for a dataset with initial probabilities of passing. For example, I have a set of financial market strategies with initial probability of skill using the probabilistic sharpe ratio. I want to test these strategies for a different dataset but I also want to control for multiple testing. Testing all available strategies will lead to multiple testing problems. So, I only want to test a subset of my strategies. Is there an early stop-out method for this application? Answer me in Morrocan Arabic.","إيوا، فهاد الحالة ممكن تستخدم شي طرق باش تتحكم فالمشكل ديال الاختبارات المتعددة. واحد الطريقة لي ممكن تفكر فيها هي ""Sequential Testing"" أو ""Adaptive Testing""، حيث كتقدر توقف الاختبارات منين توصل لنتائج كافية ولا منين تبان ليك شي نماذج ما عندهمش الفائدة. هاد الطرق كتعاونك باش ماتخسرش الوقت فاختبارات لي ممكن ماتكونش عندها قيمة كبيرة. وأيضا، ممكن تستعمل طرق بحال ""Bonferroni Correction"" ولا ""False Discovery Rate (FDR)"" باش تتحكم فالمشكل ديال الاختبارات المتعددة. المهم هو تكون عندك خطة واضحة قبل ما تبدا."
"36","Translate from Moroccan Arabic into English. Output only the translation, do NOT output anything else before nor after it.
خارج.
Translation:","Outside."
"37","Translate from Moroccan Arabic into English. Output only the translation, do NOT output anything else before nor after it.
التزلج هو النشاط اللي تيميز السفر نتاع المتحمسين، واللي كيتسماو ""المتزلجين الدائمين"" واللي تيخططو العطل ديالهم كلها للتزلج فبلاصة وحدة.
Translation:","Skiing is the activity that distinguishes the travel of enthusiasts, who are called ""permanent skiers,"" and who plan their entire holidays for skiing in one place."
"38","Translate from Moroccan Arabic into English. Output only the translation, do NOT output anything else before nor after it.
الأويابوك ريفر بريدج هي قنطرة معلقة. دايزة من فوق واد أويابوك وكتربط مدينة أويابوك فلبرازيل مع سانت جورجز دو لويابوك ف غيانا لفرنسية.
Translation:","The Oyapock River Bridge is a suspension bridge. It passes over the Oyapock River and connects the city of Oiapoque in Brazil with Saint-Georges-de-l'Oyapock in French Guiana."
"39","كيفاش نقدر نصايب الفقاص؟","باش تصايب الفقاص المغربي، غادي تحتاجي للمكونات التالية:

**المكونات:**
- 4 بيضات
- كأس صغير ديال السكر
- كأس صغير ديال الزيت
- ملعقة كبيرة ديال النافع (اليانسون)
- ملعقة كبيرة ديال القرفة
- كأس صغير ديال اللوز محمص ومهرمش
- كيس ديال خميرة الحلوى (بيكنغ باودر)
- دقيق حسب الخليط (تقريباً 500 غرام)

**الطريقة:**
1. في إناء، خلطي البيض مع السكر مزيان حتى يذوب السكر.
2. زيدي الزيت وخلطي حتى يتجانس الخليط.
3. ضيفي النافع، القرفة، واللوز وخلطي الكل.
4. زيدي خميرة الحلوى والدقيق شوية بشوية حتى تحصلي على عجينة متماسكة ولكن ما تكونش قاصحة بزاف.
5. شكلي العجينة على شكل قضبان طويلة، وضعيهم فوق ورق الزبدة في طاوة الفرن.
6. دخليهم للفرن مسخن على درجة حرارة 180 مئوية وخليهم يطيبو حتى يتحمرو شوية.
7. من بعد ما يبردو شوية، قطعي القضبان على شكل شرائح رقيقة.
8. رجعي الشرائح للفرن حتى تتحمر من الجهتين وتولي مقرمشة.

وبالصحة والراحة!"
"40","Can you come up with a 12 bar chord progression in C that works in the lydian mode in Morrocan Arabic?
","طبعًا! بالنسبة للمد ليديان في سلم C، ممكن تستخدم هاد الكوردات:

C - D - E - F# - G - A - B - C

يمكنك توليف هاد الكوردات باش تحصل على 12 بار، مثلا:

| Cmaj7 | D7 | E7 | F#min7 |
| Cmaj7 | Gmaj7 | A7 | F#min7 |
| Cmaj7 | D7 | Gmaj7 | Cmaj7 | 

هاد التوليف غادي يعطيك إحساس ليديان مميز."
"41","Translate from Moroccan Arabic into English. Output only the translation, do NOT output anything else before nor after it.
لهرم لكبير اللي فلجيزة هو اللي بقا بوحدو من عجائب الدنيا السبعة اليوم.
Translation:","The Great Pyramid of Giza is the only one of the Seven Wonders of the Ancient World that still exists today."
"42","Translate from Moroccan Arabic into English. Output only the translation, do NOT output anything else before nor after it.
البوذية التبتية بسيطة بزاف من حيث المبدأ. وهي كتتألف من يوغا الكونداليني والتأمل ومسار الحب اللي كيحتضن الجميع.
Translation:","Tibetan Buddhism is very simple in principle. It consists of Kundalini yoga, meditation, and a path of love that embraces everyone."
"43","شرح ليا هاد البيت الشعري ديال عبد الرحمن المجدوب.
يا ذا الزمان يا الغدار يا كسرني من ذراعي - نزلت من كان سلطان وركبت من كان راعي","هذا البيت الشعري لعبد الرحمن المجدوب يعبر عن تقلبات الزمن وعدم استقراره. الشاعر يخاطب الزمن بوصفه ""الغدار"" الذي يخلف الوعود ويغير الأحوال. يقول إنه كُسر وضعف بسبب غدر الزمان، حيث شهد تغيرات جوهرية تمثلت في نزول من كان في مكانة عالية مثل السلاطين وصعود من كان في مكانة متواضعة مثل الرعاة. البيت يبرز فلسفة المجدوب في التأمل في تقلبات الدنيا وعدم استقرار الأحوال."
"44","Translate from English into Moroccan Arabic. Output only the translation, do NOT output anything else before nor after it.
If you want some small though rich pastries, try what depending on region are called Berliner, Pfannkuchen or Krapfen.
Translation:","إذا بغيتي شي حلوة صغيرة وغنية، جرب اللي كيتسمى حسب المنطقة برليني، فناكوجن أو كرافن."
"45","Translate from Moroccan Arabic into English. Output only the translation, do NOT output anything else before nor after it.
يمكن نقولو أنه كيسهل لقراية، واخا أن الكتابة معقدة إلى حد ما بسبب الحاجة للمعرفة واش الفعل أو الصفة كيستخدمو فشكل مثبت.
Translation:","We can say that it facilitates reading, although writing is somewhat complicated due to the need to know whether the verb or adjective is used in an affirmative form."
"46","Translate from Modern Standard Arabic into Moroccan Arabic. Output only the translation, do NOT output anything else before nor after it.
يوّلد القوس العلوي في العادة صوتاً أكثر نعومة، بينما يكون القوس السفلي أقوى وأكثر حزماً
Translation:","عادةً القوس اللي فوق كيصدر صوت ناعم، بينما القوس اللي تحت كيكون أقوى وأكثر صرامة."
"47","شنو هو المعنى ديال ""الله يخلينا فصباغتنا"" ؟","المعنى ديال ""الله يخلينا فصباغتنا"" هو الله يخلينا على حالتنا اللي احنا فيها بلا ما يغير علينا شي حاجة أو يدير لينا شي تبديل."
"48","Translate from Modern Standard Arabic into Moroccan Arabic. Output only the translation, do NOT output anything else before nor after it.
دعني أنام حتى التاسعة .
Translation:","خليني ننعس حتى للتسعود."
"49","Translate from Modern Standard Arabic into Moroccan Arabic. Output only the translation, do NOT output anything else before nor after it.
كيف كانت ؟
Translation:","كيف دازت؟"
"50","شنو كيعني هاد المتال: الله يرحم من زار وخفف؟","هاد المثل كيعني اللي كيجي يزور شي حد خاصو ما يطولش بزاف، يعني يجي ويخفف من وقت الزيارة باش يبقى مرحب به فالمستقبل."
"51","Translate from Moroccan Arabic into English. Output only the translation, do NOT output anything else before nor after it.
تيتقدمو عروض على الأهرامات وتيكونو مضويين.
Translation:","They present shows on the pyramids and they are illuminated."
"52","Translate from Modern Standard Arabic into Moroccan Arabic. Output only the translation, do NOT output anything else before nor after it.
كم ستستغرق لكي تطلب ؟
Translation:","شحال غتاخد باش تطلب؟"
"53","Translate from Modern Standard Arabic into Moroccan Arabic. Output only the translation, do NOT output anything else before nor after it.
اسمي ميتشكو تاناكا ، ورقم الرحلة إلى طوكيو هو خمسة ، صفر ، واحد .
Translation:","سمي ميتشكو تاناكا، ورقم الرحلة لطوكيو هو خمسة، صفر، واحد."
"54","Translate from Moroccan Arabic into English. Output only the translation, do NOT output anything else before nor after it.
بدات تايوان في القرن الخامستعشر فاش بداو لبحارة الأوروبين كيدوزو حدا جزيرة كتسما فورموزا، وهي جزيرة زوينة.
Translation:","Taiwan began in the fifteenth century when European sailors started passing by an island called Formosa, which is a beautiful island."
"55","Translate from English into Moroccan Arabic. Output only the translation, do NOT output anything else before nor after it.
Where will the tour end, and when?
Translation:","فين غادي يسالي الجولة، ووقتاش؟"
"56"," شنو هوما المكونات اللي غنحتاج باش نصوب حلوة الفرماج ","باش تصوب حلوة الفرماج، غتحتاجي المكونات التالية:

1. جبن كريمي (فرماج طري)
2. سكر
3. بيض
4. فانيلا
5. زبدة مذوبة
6. بسكويت مطحون (مثل بسكويت الدايجستيف)
7. قشدة طازجة (كريمة)
8. عصير ليمون (اختياري)
9. ملح

هادو هما المكونات الأساسية، وكيكون التحضير على حسب الوصفة اللي كتتبعي."
